Base_Consolidation_Name,Associated_Company_Name,Linkage_Method,Linkage_Value,Company_Evidence_Weight,Company_Evidence_Count,Association_companies_Count,chatid
"Hebei Guanlang Biotechnology Co., Ltd.","Jiangsu Kaihuida New Material Technology Co., Ltd",Phone,P/F: 8613179737550,4546,167,307,
"Hebei Guanlang Biotechnology Co., Ltd.","Hebei Yingong New Material Technology Co., Ltd.",Phone,P/F: 8619930503930,4546,167,307,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Taizhou Crene Chempharm Co., Ltd",Phone,P/F: 863195326157,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Zhongweiye Biological Technology Co., Ltd. (2010)",Phone,P/F: 863195326157,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Chemegen(Shanghai) Biotechnology Co., Ltd",Phone,P/F: 8657112345678,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Qingfeng Chem,Phone,P/F: 8657112345678,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hubei Shiteng Chemical Technology Co., Ltd",Phone,P/F: 8657112345678,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hangzhou Gyz Chemical Co., Ltd",Phone,P/F: 8657112345678,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Zerui Biotechnology Co., Ltd",Phone,P/F: 8657112345678,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Henan Yingchuang,Phone,P/F: 8657112345678,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Chinese Simplification Co., Ltd",Phone,P/F: 8657112345678,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Daming Changda Co., Ltd",Phone,P/F: 863105102000,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Henan Xiangduo Industry Co., Ltd",Phone,P/F: 8613349917800,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Wuhan Jushun Chemical Co., Ltd",Phone,P/F: 8613349917800,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Haoran Biotechnology Co., Ltd",Phone,P/F: 8618818260767,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Chemegen(Shanghai) Biotechnology Co., Ltd",Phone,P/F: 8618818260767,2663,74,505,
