Base Consolidation Name,Associated Name,Linkage Value,Linkage Method,Evidence Weightage,Association Count
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Xiyuan Biotechnology Co., Ltd",2453006496@qq.com,Email,12,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Hao Zhun Biological Technology Co., Ltd",2453006496@qq.com,Email,2663,278
"Anhui Zhongda Biotechnology Co., Ltd",Conier Chem & Pharma Limited,2453006496@qq.com,Email,758,278
"Anhui Zhongda Biotechnology Co., Ltd",Https//Hanhongsci.Com/,2453006496@qq.com,Email,336,278
"Anhui Zhongda Biotechnology Co., Ltd","Pushan Industry (Shaanxi) Co., Ltd",2453006496@qq.com,Email,459,278
"Anhui Zhongda Biotechnology Co., Ltd","Zhejiang J&C Biological Technology Co.,Limited",admin@whrchem.com,Email,1778,278
"Anhui Zhongda Biotechnology Co., Ltd","Wuhan Ruichi Technology Co., Ltd",admin@whrchem.com,Email,486,278
"Anhui Zhongda Biotechnology Co., Ltd",Career Henan Chemical Co,admin@whrchem.com,Email,974,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Longyu Biotechnology Co., Ltd",admin@whrchem.com,Email,498,278
"Anhui Zhongda Biotechnology Co., Ltd",Conier Chem & Pharma Limited,admin@whrchem.com,Email,758,278
"Anhui Zhongda Biotechnology Co., Ltd","Hong Kong Excellence Biotechnology Co., Ltd",admin@whrchem.com,Email,803,278
"Anhui Zhongda Biotechnology Co., Ltd","Shenzhen Polymeri Biochemical Technology Co., Ltd",info@zzsrm.com,Email,1252,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Haoran Biotechnology Co., Ltd",info@zzsrm.com,Email,138,278
"Anhui Zhongda Biotechnology Co., Ltd","Zhejiang J&C Biological Technology Co.,Limited",info@zzsrm.com,Email,1778,278
"Anhui Zhongda Biotechnology Co., Ltd","Hebei Xinsheng New Material Technology Co., Ltd",info@zzsrm.com,Email,103,278
"Anhui Zhongda Biotechnology Co., Ltd","Chemegen(Shanghai) Biotechnology Co., Ltd",info@zzsrm.com,Email,1477,278
"Anhui Zhongda Biotechnology Co., Ltd","Mokesi Technology Co., Ltd.(2016)",info@zzsrm.com,Email,104,278
"Anhui Zhongda Biotechnology Co., Ltd","Chengdu Sinostandards Biotech Co.,Ltd.",info@zzsrm.com,Email,110,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Hao Biological Technology Co., Ltd",info@zzsrm.com,Email,485,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Ziqi Biological Technology Co., Ltd",info@zzsrm.com,Email,314,278
"Anhui Zhongda Biotechnology Co., Ltd",Hebei Weilang Import And Export Corporation,info@zzsrm.com,Email,8,278
"Anhui Zhongda Biotechnology Co., Ltd","Beijing Bolide Biotechnology Co., Ltd",info@zzsrm.com,Email,28,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Hanxiang Chemical Co., Ltd",info@zzsrm.com,Email,8,278
"Anhui Zhongda Biotechnology Co., Ltd","Hebei Guanlang Biotechnology Co., Ltd.",info@zzsrm.com,Email,369,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Hao Zhun Biological Technology Co., Ltd",info@zzsrm.com,Email,2663,278
"Anhui Zhongda Biotechnology Co., Ltd",Conier Chem & Pharma Limited,info@zzsrm.com,Email,758,278
"Anhui Zhongda Biotechnology Co., Ltd","Zhejiang Jiuzhou Pharmaceutical Co., Ltd. Is",info@zzsrm.com,,560,278
"Anhui Zhongda Biotechnology Co., Ltd","Leapchem Co., Ltd",info@zzsrm.com,,160,278
"Anhui Zhongda Biotechnology Co., Ltd",Amadis Chemical Company Limited,info@zzsrm.com,,739,278
"Anhui Zhongda Biotechnology Co., Ltd","Hangzhou Ocean Chemical Co., Ltd",info@zzsrm.com,,153,278
"Anhui Zhongda Biotechnology Co., Ltd","Changzhou Huayang Technology Co., Ltd",info@zzsrm.com,,377,278
"Anhui Zhongda Biotechnology Co., Ltd","Anhui Yiao New Material Technology Co., Ltd",info@zzsrm.com,,1111,278
"Anhui Zhongda Biotechnology Co., Ltd",Wuhan Han Sheng New Material Technology Co. Ltd,info@zzsrm.com,,724,278
"Anhui Zhongda Biotechnology Co., Ltd","Shandong Hanjiang Chemical Co., Ltd",info@zzsrm.com,,1416,278
"Anhui Zhongda Biotechnology Co., Ltd","Anhui Witop Biotech Co., Ltd",info@zzsrm.com,,519,278
"Anhui Zhongda Biotechnology Co., Ltd",Atk Chemical Company Ltd,info@zzsrm.com,,458,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Uchem Co., Ltd",info@zzsrm.com,,311,278
"Anhui Zhongda Biotechnology Co., Ltd",Afine Chemicals Ltd,info@zzsrm.com,,336,278
"Anhui Zhongda Biotechnology Co., Ltd","Gihi Chemicals Co., Ltd",info@zzsrm.com,,321,278
"Anhui Zhongda Biotechnology Co., Ltd","Hebei Miaoyin Technology Co., Ltd",info@zzsrm.com,,1844,278
"Anhui Zhongda Biotechnology Co., Ltd","Hebei Endun Biological Technology Co., Ltd",info@zzsrm.com,,1034,278
"Anhui Zhongda Biotechnology Co., Ltd",Chemenu Inc.,info@zzsrm.com,,280,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Yifei Biotechnology Co., Ltd",info@zzsrm.com,,349,278
"Anhui Zhongda Biotechnology Co., Ltd","Henan Aochuang Chemical Co., Ltd",info@zzsrm.com,,196,278
"Anhui Zhongda Biotechnology Co., Ltd",Pt Chem Group Ltd,justine@zhongda-biotech.com,,501,278
"Anhui Zhongda Biotechnology Co., Ltd","Henan Fengda Chemical Co., Ltd",justine@zhongda-biotech.com,,848,278
"Anhui Zhongda Biotechnology Co., Ltd","Shandong Zhishang New Material Co., Ltd",justine@zhongda-biotech.com,,125,278
"Anhui Zhongda Biotechnology Co., Ltd","Siyang Liaoning Biochemical Products Co., Ltd",justine@zhongda-biotech.com,,318,278
"Anhui Zhongda Biotechnology Co., Ltd",Henan Bao Enluo International Trade Co. Ltd,justine@zhongda-biotech.com,,1225,278
"Anhui Zhongda Biotechnology Co., Ltd","Shandong Zhi Shang Chemical Co., Ltd",justine@zhongda-biotech.com,,294,278
"Anhui Zhongda Biotechnology Co., Ltd","Wuhan Lanabai Pharmaceutical Chemical Co., Ltd",kaia@hbfengqiang.com,,316,278
"Anhui Zhongda Biotechnology Co., Ltd","Jiangsu Pules Biotech Co., Ltd",kaia@hbfengqiang.com,,148,278
"Anhui Zhongda Biotechnology Co., Ltd","Jiangsu Shring Biopharma Co., Ltd",kaia@hbfengqiang.com,,292,278
"Anhui Zhongda Biotechnology Co., Ltd","Hebei Fengqiang Trading Co., Ltd",kaia@hbfengqiang.com,,168,278
"Anhui Zhongda Biotechnology Co., Ltd","Morning Student Science And Technology (Guangzhou) Co., Ltd",laboratory@coreychem.com,,268,278
"Anhui Zhongda Biotechnology Co., Ltd","Mainchem Co., Ltd",laboratory@coreychem.com,,252,278
